# DecentralChain mass transfer recipients
# address,amount (in whole token units)
3DYQySnwhmvC7qMHoUzxpCkc4ak2qfvETMw,100
3DQXdEtof2ZBgrE2AkpSuRe4EwU1WVbbbrh,100
3DXwypPikJTM3FJLKdS7fccPaUbpdao7t43,100
3DNbU8rAmcLa8tnTxYuhg7b4gTzuUTk7tYh,100
